Date,P_mm,Eta-cal_mm,Q_mm
5/1/11,0.11,1.709285681,4.640688647
5/2/11,1.22,1.210010436,2.963937998
5/3/11,7.39,0.739477244,4.800268517
5/4/11,0.38,1.751228584,3.782700833
5/5/11,0,1.604463779,2.563692589
5/6/11,1.95,1.05630583,1.762023463
5/7/11,5.17,0.726805848,3.362438513
5/8/11,4.36,0.838181218,2.673054412
5/9/11,5.3,0.970509588,5.352209129
5/10/11,2.58,0.932615463,3.998396863
5/11/11,0.02,1.100208919,3.16434998
5/12/11,3.47,1.525629458,2.733597477
5/13/11,2.21,1.107354927,3.179811559
5/14/11,0.09,1.598150311,2.536239755
5/15/11,0.06,1.686626533,1.493307424
5/16/11,0,1.238096322,1.170109669
5/17/11,0,0.998571574,0.93965498
5/18/11,0,0.642295811,0.736300312
5/19/11,0,0.309124985,0.616337365
5/20/11,0,0.246272558,0.540270288
5/21/11,0,0.116486075,0.489320798
5/22/11,0.11,0.080102996,0.490769274
5/23/11,7.03,0.96094578,0.70069397
5/24/11,0.11,0.707069673,0.706667878
5/25/11,5.85,1.356142091,0.587237168
5/26/11,8.73,1.75136832,3.585166101
5/27/11,20.12,0.748293011,7.490235679
5/28/11,18.46,0.768056281,16.43365297
5/29/11,10.6,0.518722595,10.9251043
5/30/11,12.11,0.561520579,13.41431438
5/31/11,1.68,0.604379354,7.272943195
6/1/11,3.51,1.16759915,4.404470439
6/2/11,4.72,1.565807759,5.096713576
6/3/11,0.72,1.850006702,3.788881043
6/4/11,0.58,1.374651683,2.811619439
6/5/11,0,1.431176985,2.054731743
6/6/11,0,1.155916248,1.412587597
6/7/11,0.11,0.693219331,1.15787309
6/8/11,0,0.78863034,0.950798507
6/9/11,0.83,0.470712819,0.824557285
6/10/11,0.11,0.286053523,0.792180818
6/11/11,2.82,0.561013959,0.723248213
6/12/11,0.32,0.41206407,0.768278761
6/13/11,0.11,0.395137259,0.54717735
6/14/11,16.56,0.604509371,4.770140103
6/15/11,4.06,0.605141102,3.67674737
6/16/11,0.24,1.295621087,1.905854284
6/17/11,0,1.473991087,1.44015085
6/18/11,0.34,1.220865031,1.102536701
6/19/11,0.02,1.645245865,0.9415562
6/20/11,0,1.27850492,0.744101768
6/21/11,0.13,0.642730462,0.612030174
6/22/11,1.46,0.559195531,0.571958661
6/23/11,17.46,1.003541231,2.174494633
6/24/11,4.05,0.6,5.311856096
6/25/11,3.74,0.419989281,1.965514944
6/26/11,15.79,0.943648866,9.957281356
6/27/11,0.75,1.024351291,3.765116948
6/28/11,0,2.364971519,2.359255524
6/29/11,5.28,1.785422747,2.017976291
6/30/11,9.82,1.711545333,3.166846742
7/1/11,0.13,1.486855475,3.339205338
7/2/11,0.68,0.980646352,2.012110895
7/3/11,2.92,1.250120698,1.682646679
7/4/11,22.58,0.876369874,10.25480749
7/5/11,16.01,0.975856865,11.39117564
7/6/11,2.69,0.712150165,9.696894598
7/7/11,0,1.236014173,4.205187963
7/8/11,0.44,1.020259736,2.630446039
7/9/11,10.28,0.739091351,4.002749168
7/10/11,4.08,0.655581413,3.81079248
7/11/11,15.3,0.927181976,9.36843398
7/12/11,10.41,0.591859594,9.794317434
7/13/11,1.96,1.127963718,5.492685437
7/14/11,0.11,2.579972656,3.239018103
7/15/11,1.14,1.571488066,2.280475983
7/16/11,3.99,1.047024756,1.911771466
7/17/11,1.36,0.968086996,2.266883591
7/18/11,0,1.209585489,1.507063732
7/19/11,0,0.477982276,1.15485047
7/20/11,0.11,0.829807204,0.960554623
7/21/11,0.79,0.769636098,0.784182048
7/22/11,5.15,0.485695215,0.965878914
7/23/11,8.94,0.640751579,2.22060491
7/24/11,9.29,0.562730003,5.781843324
7/25/11,1.06,0.975118196,3.468526692
7/26/11,0,1.885495459,2.013224961
7/27/11,2.29,0.474711716,1.672057393
7/28/11,5.49,0.745163873,2.7341702
7/29/11,0.82,2.557139506,1.950039958
7/30/11,1.99,1.922377119,1.505597105
7/31/11,0,1.334252571,1.385568523
8/1/11,0.86,1.137114527,1.036646809
8/2/11,0.02,0.831286989,0.895266222
8/3/11,0.3,0.704921801,0.717723662
8/4/11,0.3,0.60140382,0.592226262
8/5/11,0.47,0.449019696,0.536466358
8/6/11,0.13,0.352811899,0.46760333
8/7/11,0.11,0.415147488,0.406208138
8/8/11,0.13,0.298268566,0.359193698
8/9/11,0.19,0.225356974,0.347172615
8/10/11,1.66,0.164830241,0.374433177
8/11/11,0,0.662672423,0.322280238
8/12/11,0,0.534251574,0.253996368
8/13/11,0,0.367131302,0.225941961
8/14/11,0,0.224923466,0.208859708
8/15/11,0,0.119138624,0.196851117
8/16/11,0,0.118218305,0.188819088
8/17/11,0.24,0.109927708,0.184610441
8/18/11,0,0.177335184,0.182216699
8/19/11,1.68,0.576752265,0.169543569
8/20/11,1.4,0.734544991,0.175767052
8/21/11,1.14,0.653114716,0.171949622
8/22/11,0,0.451376368,0.173840548
8/23/11,0,0.331626369,0.160546509
8/24/11,0,0.391871036,0.14238487
8/25/11,0.11,0.349072756,0.128431816
8/26/11,0.36,0.160433144,0.128232071
8/27/11,14.73,0.792968151,0.527003189
8/28/11,0.8,1.502399518,0.473593853
8/29/11,6.78,0.748517763,0.513932354
8/30/11,2.72,0.864396253,0.665498879
8/31/11,7.71,0.85660983,1.16944212
9/1/11,2.57,0.518566424,1.010263696
9/2/11,12.77,0.779910914,3.541618885
9/3/11,0.06,0.890097748,1.669439908
9/4/11,0.11,1.039608035,1.065528265
9/5/11,0.2,1.245761144,0.760804428
9/6/11,1.64,0.559637666,0.717279212
9/7/11,4.49,0.93595488,0.820492336
9/8/11,0.89,2.036014616,0.934646526
